City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
368,Ipora,-16.4419,-51.1178,70.39,90,100,1.66,BR,2022-01-26 01:45:35
369,Tasiilaq,65.6145,-37.6368,17.76,71,17,7.27,GL,2022-01-26 01:45:36
370,Palana,59.1167,159.9667,-4.05,86,100,6.89,RU,2022-01-26 01:45:36
371,Cassilandia,-19.1133,-51.7342,72.09,90,87,3.49,BR,2022-01-26 01:45:37
372,Ushtobe,45.2514,77.9838,17.06,90,70,2.91,KZ,2022-01-26 01:45:37
373,Tura,25.5198,90.2201,60.01,68,0,2.84,IN,2022-01-26 01:45:37
374,Sorkjosen,69.8,20.9333,27.0,88,100,8.21,NO,2022-01-26 01:45:38
375,Usinsk,65.9939,57.5281,18.32,95,100,16.82,RU,2022-01-26 01:45:38
376,Cayenne,4.9333,-52.3333,79.09,87,75,3.0,GF,2022-01-26 01:41:50
377,Tiksi,71.6872,128.8694,-4.32,95,100,11.72,RU,2022-01-26 01:45:39
378,Strezhevoy,60.7333,77.5889,-2.22,100,99,5.68,RU,2022-01-26 01:45:39
379,Lubao,14.9167,120.55,82.47,62,80,11.54,PH,2022-01-26 01:45:40
380,Balakhta,55.38,91.6,6.19,98,100,2.13,RU,2022-01-26 01:45:40
381,Adrar,20.5022,-10.0711,65.79,17,100,6.04,MR,2022-01-26 01:45:41
382,Lianran,24.9227,102.485,45.14,77,1,6.02,CN,2022-01-26 01:45:41
383,Suihua,46.6406,126.9969,9.01,92,93,4.38,CN,2022-01-26 01:45:41
384,Shetpe,44.1667,52.1167,32.61,94,91,3.85,KZ,2022-01-26 01:45:42
385,Wah,33.798,72.6957,45.01,69,2,3.27,PK,2022-01-26 01:45:42
386,Kloulklubed,7.0419,134.2556,82.9,72,75,18.61,PW,2022-01-26 01:45:43
387,Afipskiy,44.9021,38.8439,24.91,100,100,1.99,RU,2022-01-26 01:45:43
388,Puerto Escondido,15.85,-97.0667,78.08,76,0,4.85,MX,2022-01-26 01:45:44
389,Shache,38.4167,77.2406,29.71,55,73,0.02,CN,2022-01-26 01:45:44
390,Kavaratti,10.5669,72.642,77.4,52,100,5.5,IN,2022-01-26 01:45:44
391,Tiznit,29.5833,-9.5,50.49,87,44,4.47,MA,2022-01-26 01:45:45
392,Marienburg,54.0359,19.0266,39.11,84,100,9.15,PL,2022-01-26 01:45:45
393,Warrington,53.3925,-2.5802,41.74,90,100,1.01,GB,2022-01-26 01:45:46
394,Ponta Delgada,37.7333,-25.6667,58.5,88,40,3.44,PT,2022-01-26 01:45:46
395,Estelle,29.8458,-90.1067,53.6,81,75,5.75,US,2022-01-26 01:45:46
396,Narsaq,60.9167,-46.05,26.82,91,100,9.91,GL,2022-01-26 01:45:47
397,Taoudenni,22.6783,-3.9836,68.38,20,100,7.76,ML,2022-01-26 01:45:47
398,Bone,51.9669,12.1396,38.28,96,100,6.82,DE,2022-01-26 01:45:48
399,Vila Franca Do Campo,37.7167,-25.4333,58.19,80,96,8.23,PT,2022-01-26 01:45:48
400,Kudahuvadhoo,2.6708,72.8944,79.66,67,95,11.03,MV,2022-01-26 01:43:57
401,Necochea,-38.5473,-58.7368,75.04,84,73,0.92,AR,2022-01-26 01:45:49
402,Jumla,29.2747,82.1838,26.74,66,9,3.65,NP,2022-01-26 01:45:49
403,Evensk,61.95,159.2333,-3.1,84,100,6.11,RU,2022-01-26 01:45:50
404,Filingue,14.3521,3.3168,61.47,16,0,11.9,NE,2022-01-26 01:45:50
405,Manicore,-5.8092,-61.3003,74.17,98,100,2.06,BR,2022-01-26 01:46:50
406,Fairbanks,64.8378,-147.7164,19.36,70,40,8.05,US,2022-01-26 01:46:51
407,Indiana,40.0003,-86.2503,16.59,66,0,5.75,US,2022-01-26 01:46:01
408,Amli,20.2833,73.0167,56.91,49,4,4.05,IN,2022-01-26 01:46:51
409,Trinidad,-14.8333,-64.9,77.09,84,73,3.51,BO,2022-01-26 01:46:52
410,Jacareacanga,-6.2222,-57.7528,74.14,98,100,2.15,BR,2022-01-26 01:46:52
411,Whitehorse,60.7161,-135.0538,30.97,64,20,3.44,CA,2022-01-26 01:44:03
