City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
80,Sisimiut,66.9395,-53.6735,9.19,90,100,29.71,GL,snow
81,Chapeco,-27.0964,-52.6183,69.55,83,100,20.71,BR,overcast clouds
82,Ribeira Grande,38.5167,-28.7,61.2,63,20,6.91,PT,few clouds
83,Carnarvon,-24.8667,113.6333,75.27,88,78,9.22,AU,broken clouds
84,Mackay,-21.15,149.2,74.68,88,22,8.05,AU,few clouds
85,Monrovia,6.3005,-10.7969,80.37,79,100,9.01,LR,overcast clouds
86,Staryy Nadym,65.6118,72.6842,-7.92,96,100,8.93,RU,overcast clouds
87,Aleysk,52.4926,82.7822,-11.16,97,23,2.84,RU,few clouds
88,Hualmay,-11.0964,-77.6139,74.75,72,71,11.54,PE,broken clouds
89,Youkounkoun,12.5333,-13.1333,87.75,13,86,4.16,GN,overcast clouds
90,Souillac,-20.5167,57.5167,80.98,78,40,8.05,MU,scattered clouds
91,Mazamari,-11.3258,-74.5308,86.97,51,100,3.31,PE,moderate rain
92,Karasjok,69.4719,25.5112,3.31,100,56,1.97,NO,broken clouds
93,Biaora,23.8667,76.9167,56.86,34,0,0.49,IN,clear sky
94,Sitka,57.0531,-135.33,39.09,81,75,12.66,US,moderate rain
95,Wiarton,44.7407,-81.1332,16.5,67,40,4.61,CA,scattered clouds
96,Takoradi,4.8845,-1.7554,80.42,84,15,7.43,GH,few clouds
97,Padang,-0.9492,100.3543,76.91,90,77,3.09,ID,light rain
98,Havoysund,70.9963,24.6622,16.68,76,97,13.6,NO,snow
99,Lingao,19.9103,109.6859,60.31,87,100,14.32,CN,overcast clouds
100,Grindavik,63.8424,-22.4338,36.07,75,75,19.57,IS,broken clouds
101,Bandar-E Lengeh,26.5579,54.8807,69.03,59,2,11.16,IR,clear sky
102,Pasighat,28.0667,95.3333,50.65,68,1,3.74,IN,clear sky
103,Cherskiy,68.75,161.3,-29.31,100,30,1.07,RU,scattered clouds
104,Hilo,19.7297,-155.09,74.8,67,20,6.91,US,few clouds
105,Makamba,-4.1348,29.804,62.08,89,82,1.05,BI,broken clouds
106,Thompson,55.7435,-97.8558,-0.24,71,40,6.91,CA,scattered clouds
107,Visby,57.6409,18.296,44.82,81,100,33.38,SE,overcast clouds
108,Havelock,34.8791,-76.9013,40.98,57,40,11.01,US,scattered clouds
109,Tuktoyaktuk,69.4541,-133.0374,-9.4,77,75,16.11,CA,light snow
110,Tasiilaq,65.6145,-37.6368,12.36,77,91,5.77,GL,overcast clouds
111,Pedernales,18.0384,-71.744,79.12,72,25,6.73,DO,scattered clouds
112,Leningradskiy,69.3833,178.4167,-9.15,89,41,5.06,RU,scattered clouds
113,Saint-Philippe,-21.3585,55.7679,78.39,84,57,9.55,RE,broken clouds
114,Fairbanks,64.8378,-147.7164,-14.98,73,0,0.0,US,clear sky
115,Uttiramerur,12.6,79.7667,76.44,80,96,8.97,IN,overcast clouds
116,Los Llanos De Aridane,28.6585,-17.9182,62.35,78,12,1.01,ES,few clouds
117,Zhanakorgan,43.9098,67.2495,25.52,90,83,6.53,KZ,broken clouds
118,Conceicao Do Araguaia,-8.2578,-49.2647,78.6,85,83,5.59,BR,broken clouds
119,Nemuro,43.3236,145.575,18.79,74,60,15.37,JP,broken clouds
120,Pevek,69.7008,170.3133,-16.67,99,93,2.82,RU,overcast clouds
121,Arkhangelsk,64.5401,40.5433,17.71,86,100,6.71,RU,overcast clouds
122,Steenwijk,52.7875,6.1208,48.15,74,83,15.01,NL,broken clouds
123,Mount Gambier,-37.8333,140.7667,62.51,88,100,9.22,AU,overcast clouds
124,Yerbogachen,61.2767,108.0108,-25.01,100,80,3.09,RU,broken clouds
125,Palora,-1.7,-77.9333,82.38,64,100,2.95,EC,overcast clouds
126,Lebu,-37.6167,-73.65,64.96,74,2,9.64,CL,clear sky
127,Fort Nelson,58.8053,-122.7002,9.99,85,100,5.75,CA,snow
128,Ponta Do Sol,32.6667,-17.1,65.03,66,20,4.81,PT,few clouds
129,Kagadi,0.9606,30.7967,67.96,43,76,2.21,UG,broken clouds
130,Cariati,39.4922,16.9594,46.15,58,16,26.46,IT,few clouds
131,Pisco,-13.7,-76.2167,75.25,60,0,11.5,PE,clear sky
132,Bow Island,49.8668,-111.3684,50.18,26,100,0.0,CA,overcast clouds
133,Pacific Grove,36.6177,-121.9166,62.96,58,0,1.99,US,clear sky
134,Ketchikan,55.3422,-131.6461,45.07,87,75,10.36,US,moderate rain
135,Sharya,58.3686,45.5144,16.11,95,100,5.35,RU,light snow
136,Sawtell,-30.3833,153.1,69.19,96,90,3.44,AU,overcast clouds
137,Marawi,7.9986,124.2928,66.65,94,82,0.11,PH,broken clouds
138,Chokurdakh,70.6333,147.9167,-12.98,86,100,1.5,RU,overcast clouds
139,Arraial Do Cabo,-22.9661,-42.0278,84.16,78,40,12.66,BR,thunderstorm
140,Torbay,47.6666,-52.7314,34.29,86,100,19.57,CA,overcast clouds
141,Alofi,-19.0595,-169.9187,80.49,89,88,5.75,NU,overcast clouds
142,Oro Valley,32.3909,-110.9665,69.4,20,12,1.01,US,few clouds
143,Codrington,-38.2667,141.9667,62.04,85,72,4.16,AU,broken clouds
144,Maues,-3.3836,-57.7186,76.62,97,100,4.92,BR,overcast clouds
145,Portland,45.5234,-122.6762,49.95,62,20,3.0,US,few clouds
146,Petropavlovsk-Kamchatskiy,53.0452,158.6483,17.78,100,75,4.47,RU,broken clouds
147,Smithers,54.7804,-127.1743,37.72,75,75,6.91,CA,broken clouds
148,Coquimbo,-29.9533,-71.3436,67.73,72,20,14.97,CL,few clouds
149,Puno,-15.8333,-70.0333,60.37,57,79,5.99,PE,broken clouds
150,Siyabuswa,-25.1132,29.0445,69.75,82,100,0.67,ZA,overcast clouds
151,Vardo,70.3705,31.1107,21.25,77,98,1.03,NO,overcast clouds
